Descricao;Motivo
Dependente Joao possui 28 anos;Maior de idade
Dependente Diego possui 29 anos;Maior de idade
Dependente Julia possui 20 anos;Maior de idade
Dependente Leticia possui 23 anos;Maior de idade
Dependente Isabela possui 29 anos;Maior de idade
Dependente Diego possui 33 anos;Maior de idade
Dependente Bruno possui 18 anos;Maior de idade
Dependente Thiago possui 33 anos;Maior de idade
CPF já existe: 94321605298;CPF duplicado
Dependente Larissa possui 21 anos;Maior de idade
CPF já existe: 39496624467;CPF duplicado
For input string: "FILHO";Dado inválido
For input string: "SOBRINHO";Dado inválido
Dependente Mateus possui 25 anos;Maior de idade
Dependente Ana possui 31 anos;Maior de idade
Dependente Maria possui 23 anos;Maior de idade
Dependente Pedro possui 32 anos;Maior de idade
Dependente Beatriz possui 29 anos;Maior de idade
Dependente Camila possui 27 anos;Maior de idade
Dependente Ana possui 29 anos;Maior de idade
Dependente Leticia possui 18 anos;Maior de idade
Dependente Felipe possui 26 anos;Maior de idade
CPF já existe: 06233378327;CPF duplicado
For input string: "OUTROS";Dado inválido
For input string: "OUTROS";Dado inválido
Dependente Joao possui 30 anos;Maior de idade
Dependente Pedro possui 33 anos;Maior de idade
Dependente Beatriz possui 24 anos;Maior de idade
Dependente Larissa possui 34 anos;Maior de idade
Dependente Lucas possui 25 anos;Maior de idade
Dependente Camila possui 24 anos;Maior de idade
Dependente Gabriel possui 23 anos;Maior de idade
CPF já existe: 92216720660;CPF duplicado
For input string: "SOBRINHO";Dado inválido
For input string: "OUTROS";Dado inválido
Dependente Julia possui 25 anos;Maior de idade
Dependente Julia possui 32 anos;Maior de idade
Dependente Rafael possui 31 anos;Maior de idade
Dependente Beatriz possui 21 anos;Maior de idade
Dependente Camila possui 32 anos;Maior de idade
Dependente Ana possui 21 anos;Maior de idade
Dependente Mateus possui 25 anos;Maior de idade
Dependente Julia possui 31 anos;Maior de idade
Dependente Diego possui 22 anos;Maior de idade
Dependente Larissa possui 30 anos;Maior de idade
Dependente Rafael possui 24 anos;Maior de idade
CPF já existe: 47260237486;CPF duplicado
For input string: "FILHO";Dado inválido
For input string: "OUTROS";Dado inválido
Dependente Amanda possui 21 anos;Maior de idade
Dependente Mateus possui 35 anos;Maior de idade
Dependente Julia possui 24 anos;Maior de idade
Ana Silva;CPF duplicado no banco
Bruno Santos;CPF duplicado no banco
Carlos Oliveira;CPF duplicado no banco
Daniela Costa;CPF duplicado no banco
Eduardo Souza;CPF duplicado no banco
Fernanda Lima;CPF duplicado no banco
Gabriel Pereira;CPF duplicado no banco
Helena Alves;CPF duplicado no banco
Igor Ferreira;CPF duplicado no banco
Juliana Rocha;CPF duplicado no banco
Kevin Martins;CPF duplicado no banco
Larissa Gomes;CPF duplicado no banco
Marcos Ribeiro;CPF duplicado no banco
Natalia Carvalho;CPF duplicado no banco
Otavio Mendes;CPF duplicado no banco
Patricia Freitas;CPF duplicado no banco
Rafael Barbosa;CPF duplicado no banco
Thiago Araujo;CPF duplicado no banco
Victor Nunes;CPF duplicado no banco
Wanderson Cruz;CPF duplicado no banco
Ximena Teixeira;CPF duplicado no banco
Yago Monteiro;CPF duplicado no banco
Zara Pinto;CPF duplicado no banco
Alexandre Moreira;CPF duplicado no banco
Beatriz Lopes;CPF duplicado no banco
Caio Nascimento;CPF duplicado no banco
Debora Vieira;CPF duplicado no banco
Elias Correia;CPF duplicado no banco
Flavia Andrade;CPF duplicado no banco
Gustavo Melo;CPF duplicado no banco
Heloisa Fernandes;CPF duplicado no banco
Ivan Borges;CPF duplicado no banco
Jessica Cavalcante;CPF duplicado no banco
Leandro Reis;CPF duplicado no banco
Marina Azevedo;CPF duplicado no banco
Nicolas Campos;CPF duplicado no banco
Olivia Moura;CPF duplicado no banco
Paulo Silveira;CPF duplicado no banco
Quezia Cunha;CPF duplicado no banco
Simone Faria;CPF duplicado no banco
Tiago Braga;CPF duplicado no banco
Ubirajara Sousa;CPF duplicado no banco
Valeria Macedo;CPF duplicado no banco
Wellington Ramos;CPF duplicado no banco
Xenia Duarte;CPF duplicado no banco
Yasmin Coelho;CPF duplicado no banco
Zacharias Bastos;CPF duplicado no banco
Adriana Vasconcelos;CPF duplicado no banco
Bernardo Queiroz;CPF duplicado no banco
Cristina Lacerda;CPF duplicado no banco
Diego Batista;CPF duplicado no banco
Eliana Marques;CPF duplicado no banco
Felipe Leite;CPF duplicado no banco
Giovanna Pacheco;CPF duplicado no banco
Henrique Nogueira;CPF duplicado no banco
Iris Tavares;CPF duplicado no banco
Jorge Fonseca;CPF duplicado no banco
Karla Brito;CPF duplicado no banco
Leonardo Coutinho;CPF duplicado no banco
Miriam Paiva;CPF duplicado no banco
Nelson Matos;CPF duplicado no banco
Orlanda Aguiar;CPF duplicado no banco
Pedro Siqueira;CPF duplicado no banco
Renata Guimaraes;CPF duplicado no banco
Tamara Evangelista;CPF duplicado no banco
Ulisses Bezerra;CPF duplicado no banco
Vanessa Medeiros;CPF duplicado no banco
Willian Sampaio;CPF duplicado no banco
Zenaide Figueiredo;CPF duplicado no banco
Augusto Xavier;CPF duplicado no banco
Barbara Prado;CPF duplicado no banco
Claudio Rezende;CPF duplicado no banco
Denise Amaral;CPF duplicado no banco
Ernesto Salles;CPF duplicado no banco
Fatima Rodrigues;CPF duplicado no banco
Gilberto Alencar;CPF duplicado no banco
Humberto Vilarreal;CPF duplicado no banco
Ingrid Maciel;CPF duplicado no banco
Joao Caldas;CPF duplicado no banco
Katia Sena;CPF duplicado no banco
Luiz Gouveia;CPF duplicado no banco
Monica Pessoa;CPF duplicado no banco
Nicanor Bessa;CPF duplicado no banco
Plinio Assis;CPF duplicado no banco
Queila Lobato;CPF duplicado no banco
Ronaldo Chaves;CPF duplicado no banco
Sonia Falcao;CPF duplicado no banco
Tobias Muniz;CPF duplicado no banco
Amanda Fonseca;CPF duplicado no banco
Cesar Drummond;CPF duplicado no banco
Eugenio Salazar;CPF duplicado no banco
Filipa Barros;CPF duplicado no banco
Graca Novaes;CPF duplicado no banco
Heitor Cavalcante;CPF duplicado no banco
Ines Brandao;CPF duplicado no banco
